danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.59,0.000753,0.888,0.00535,0.817,0.0715,-4.151,0.0797,128.025,Energetic
0.508,0.00022,0.947,0.0315,0.0784,0.419,-3.684,0.0531,163.731,Energetic
0.635,0.0973,0.808,0,0.141,0.726,-5.026,0.0262,131.377,Happy
0.584,0.55,0.367,1.38E-05,0.0818,0.588,-9.638,0.0328,120.175,Happy
0.276,0.314,0.251,6.05E-06,0.122,0.18,-9.078,0.0295,95.705,Sad
0.578,0.000121,0.882,0.479,0.284,0.623,-6.354,0.044,125.603,Energetic
0.572,0.00292,0.934,0.0198,0.105,0.204,-5.053,0.0446,125.948,Happy
0.539,0.617,0.432,0.692,0.11,0.133,-9.298,0.0249,105.196,Sad
0.535,0.000919,0.854,0.00149,0.0676,0.618,-6.519,0.0368,106.929,Energetic
0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484,0.0347,129.171,Happy
0.574,0.061,0.913,0.00158,0.156,0.423,-4.793,0.133,115.728,Happy
0.421,0.000442,0.935,0.000212,0.1,0.455,-5.153,0.0697,165.02,Energetic
0.502,0.000214,0.92,0,0.306,0.182,-4.588,0.0611,159.884,Energetic
0.587,0.0653,0.734,0.000571,0.398,0.401,-4.558,0.0407,125.848,Energetic
0.544,0.00851,0.932,0.00811,0.157,0.337,-5.816,0.0679,125.954,Energetic
0.383,0.000328,0.946,1.13E-06,0.0537,0.534,-8.122,0.0789,108.591,Energetic
0.341,0.00123,0.989,0.822,0.4,0.119,-3.828,0.111,103.48,Happy
0.784,0.261,0.675,1.40E-06,0.293,0.854,-7.718,0.049,124.908,Happy
0.404,0.702,0.249,0.000911,0.171,0.284,-15.881,0.0472,120.221,Sad
0.6,0.0938,0.882,0.912,0.0542,0.347,-8.394,0.0311,120.008,Happy
0.584,0.21,0.835,1.49E-06,0.126,0.371,-3.663,0.0584,128.106,Happy
0.439,0.316,0.454,0.000696,0.0901,0.388,-8.251,0.028,97.97,Sad
0.545,0.771,0.253,0.922,0.108,0.0529,-17.953,0.033,115.848,Calm
0.714,0.393,0.4,0.000718,0.109,0.318,-8.264,0.0618,81.974,Sad
0.389,0.24,0.52,0.00467,0.337,0.654,-8.114,0.0332,134.329,Sad
0.52,0.605,0.305,0.899,0.16,0.0389,-14.38,0.0322,120.109,Calm
0.211,4.51E-05,0.921,0,0.1,0.351,-4.468,0.0729,171.9,Energetic
0.636,0.618,0.319,1.70E-06,0.125,0.378,-10.065,0.0718,74.109,Sad
0.768,0.213,0.852,7.45E-05,0.0723,0.867,-6.215,0.038,128.374,Happy
0.731,0.0862,0.75,0.000388,0.202,0.639,-10.457,0.0321,135.406,Happy
0.67,0.762,0.417,0.0214,0.104,0.0708,-12.553,0.0404,121.13,Sad
0.21,0.00602,0.94,0,0.269,0.255,-3.427,0.123,179.722,Energetic
0.429,0.475,0.356,0.481,0.125,0.0965,-7.615,0.0282,139.915,Sad
0.548,0.13,0.569,0.00134,0.0584,0.265,-6.215,0.039,75.082,Sad
0.576,0.0198,0.948,0.000123,0.683,0.193,-4.251,0.0898,128.029,Happy
0.575,0.937,0.202,0.441,0.103,0.142,-18.544,0.0444,139.943,Calm
0.432,0.807,0.34,0,0.0864,0.449,-7.977,0.0824,135.172,Sad
0.387,0.993,0.00579,0.929,0.136,0.137,-21.823,0.0439,111.991,Calm
0.479,0.771,0.221,0.856,0.101,0.089,-19.689,0.0325,115.965,Calm
0.503,0.488,0.504,1.59E-06,0.122,0.67,-6.843,0.416,85.39,Sad
0.529,0.8,0.214,0.907,0.109,0.0903,-19.268,0.0315,124.069,Calm
0.283,0.993,0.122,0.905,0.0927,0.112,-23.074,0.0285,83.746,Calm
0.435,0.000203,0.884,0,0.0876,0.82,-3.468,0.0392,201.773,Energetic
0.463,0.000233,0.962,0.109,0.0906,0.66,-6.43,0.0704,94.003,Energetic
0.266,0.99,0.0028,0.889,0.0933,0.151,-33.729,0.0493,132.581,Calm
0.31,0.995,0.0987,0.86,0.714,0.0558,-25.408,0.0444,106.205,Calm
0.705,0.463,0.681,0.839,0.123,0.707,-8.278,0.0258,114.003,Sad
0.365,0.983,0.119,0.919,0.112,0.249,-20.962,0.0405,147.573,Calm
0.487,0.902,0.111,0.000107,0.35,0.179,-11.608,0.0356,87.161,Sad
0.674,0.00165,0.89,0.0136,0.0465,0.9,-3.953,0.274,104.862,Energetic
0.647,0.815,0.235,1.78E-05,0.233,0.0382,-10.123,0.0389,129.85,Sad
0.435,0.873,0.155,0,0.107,0.0935,-8.948,0.046,128.532,Sad
0.463,0.917,0.179,1.73E-05,0.12,0.183,-14.852,0.0402,80.747,Sad
0.578,0.994,0.0154,0.945,0.0799,0.244,-24.126,0.0987,123.953,Calm
0.475,0.0168,0.498,0.492,0.137,0.0592,-10.609,0.0303,88.882,Sad
0.653,0.0082,0.975,0.5,0.678,0.911,-9.071,0.0409,126.919,Happy
0.558,0.985,0.249,0.925,0.103,0.111,-14.715,0.0303,94.991,Calm
0.803,0.576,0.488,0.0609,0.0763,0.624,-9.303,0.0803,95.771,Happy
0.348,0.962,0.226,0.00483,0.135,0.173,-10.918,0.0386,129.251,Sad
0.19,0.768,0.167,0.164,0.126,0.0491,-11.298,0.0291,169.636,Sad
0.247,0.622,0.231,0.87,0.0878,0.0485,-19.639,0.0328,174.014,Calm
0.385,0.994,0.305,0.949,0.109,0.172,-12.044,0.0466,74.024,Calm
0.47,0.524,0.526,0.00557,0.0856,0.257,-10.987,0.0307,138.978,Sad
0.466,0.0266,0.833,0,0.0327,0.661,-4.215,0.304,88.785,Energetic
0.526,0.709,0.493,0.606,0.0993,0.574,-9.728,0.0428,154.071,Sad
0.376,0.133,0.277,0,0.0643,0.309,-18.291,0.0357,178.814,Sad
0.898,0.0135,0.271,0.00138,0.0461,0.742,-12.238,0.091,111.485,Happy
0.806,0.138,0.847,0.00157,0.067,0.97,-4.47,0.0319,121.718,Happy
0.696,0.0578,0.824,8.56E-06,0.158,0.667,-5.67,0.0538,126.023,Energetic
0.534,0.973,0.019,0.896,0.108,0.157,-26.071,0.0413,115.917,Calm
0.394,0.993,0.0807,0.944,0.0964,0.0394,-25.987,0.0318,124.904,Calm
0.559,0.0463,0.441,0.763,0.115,0.389,-13.862,0.0398,94.014,Calm
0.628,0.111,0.587,0,0.156,0.4,-5.195,0.0441,140.01,Sad
0.72,0.199,0.88,0.0246,0.0865,0.961,-8.988,0.0406,118.623,Happy
0.515,0.54,0.408,0.769,0.0916,0.308,-12.688,0.0385,115.002,Calm
0.658,0.0471,0.765,1.02E-05,0.0936,0.222,-7.002,0.0469,119.974,Happy
0.546,0.818,0.311,1.65E-05,0.107,0.246,-10.396,0.0288,147.464,Sad
0.596,0.381,0.528,0.859,0.205,0.15,-12.481,0.0289,117.041,Sad
0.309,0.0192,0.93,0.0022,0.106,0.376,-6.399,0.125,195.815,Happy
0.579,0.0426,0.784,0.0235,0.317,0.562,-4.686,0.0659,125.122,Energetic
0.301,0.99,0.189,0.893,0.106,0.0379,-16.072,0.0351,139.894,Calm
0.544,0.95,0.316,0.7,0.0978,0.173,-11.666,0.0307,124.989,Sad
0.741,0.00254,0.812,0.104,0.301,0.146,-5.356,0.039,124.991,Energetic
0.775,0.00481,0.876,0.0536,0.661,0.797,-9.58,0.0383,123.979,Energetic
0.591,0.0213,0.931,0,0.122,0.673,-4.84,0.0557,101.551,Happy
0.614,0.0125,0.96,0.687,0.366,0.0392,-5.081,0.0465,128.019,Energetic
0.238,0.404,0.191,0.888,0.107,0.0365,-20.242,0.0351,140.282,Calm
0.54,0.0122,0.574,0.000658,0.226,0.225,-7.006,0.0232,94.975,Sad
0.645,0.221,0.598,3.53E-06,0.0721,0.913,-13.18,0.0335,105.929,Happy
0.475,0.000121,0.907,0,0.034,0.408,-5.064,0.0941,92.578,Energetic
0.383,0.988,0.101,0.919,0.102,0.242,-18.306,0.0427,119.709,Calm
0.515,0.0244,0.496,7.24E-06,0.0895,0.442,-8.018,0.0275,138.61,Happy
0.457,0.0206,0.757,0,0.146,0.417,-5.177,0.032,102.961,Happy
0.367,0.000229,0.915,0,0.184,0.215,-5.453,0.0682,112.642,Energetic
0.46,0.14,0.59,0.591,0.112,0.212,-9.375,0.0327,118.008,Sad
0.488,0.153,0.777,0.0312,0.825,0.481,-12.658,0.0894,81.437,Happy
0.489,0.641,0.357,0.333,0.0838,0.0388,-9.745,0.0259,92.009,Sad
0.588,0.0386,0.598,5.83E-05,0.107,0.866,-13.288,0.0296,123.724,Happy
0.367,0.972,0.121,0.0322,0.0871,0.0926,-13.778,0.0335,132.244,Sad
0.387,0.000158,0.669,0.423,0.166,0.414,-11.187,0.0395,90.995,Sad
0.575,0.197,0.373,0.898,0.0753,0.123,-11.642,0.0279,74.975,Calm
0.383,0.63,0.446,0,0.0946,0.213,-8.693,0.0382,77.399,Sad
0.389,0.972,0.1,0.934,0.113,0.0676,-22.464,0.0358,133.839,Calm
0.448,0.328,0.591,0.708,0.111,0.303,-9.291,0.0327,145.482,Sad
0.48,0.317,0.561,0.00641,0.184,0.541,-5.874,0.027,164.791,Sad
0.693,0.194,0.565,0.000175,0.0806,0.692,-12.583,0.0345,97.937,Happy
0.632,0.224,0.469,0.854,0.0902,0.316,-10.513,0.0307,128,Calm
0.517,0.995,0.0145,0.884,0.0719,0.549,-42.018,0.0615,62.122,Calm
0.15,4.24E-05,0.875,0.00103,0.0957,0.156,-7.27,0.0975,169.806,Energetic
0.465,0.00109,0.844,0.399,0.0865,0.155,-4.352,0.0379,170.358,Happy
0.587,0.03,0.882,0.116,0.195,0.0653,-5.838,0.0427,127.97,Energetic
0.435,0.977,0.154,0.85,0.0728,0.0799,-21.451,0.0367,148.1,Calm
0.49,0.0934,0.521,0.862,0.266,0.148,-9.601,0.0295,107.778,Sad
0.626,0.237,0.816,1.80E-06,0.104,0.798,-10.593,0.13,105.33,Happy
0.369,0.996,0.0283,0.941,0.101,0.119,-25.76,0.0399,83.391,Calm
0.211,0.916,0.0838,0.41,0.102,0.0404,-20.882,0.0398,90.249,Calm
0.577,0.0338,0.808,1.33E-05,0.221,0.869,-7.04,0.039,151.008,Happy
0.614,0.0574,0.98,2.51E-05,0.086,0.179,-3.61,0.199,127.062,Energetic
0.221,0.958,0.183,0.821,0.102,0.057,-17.59,0.0362,117.321,Calm
0.312,0.959,0.0185,0.901,0.111,0.147,-25.607,0.0437,176.972,Calm
0.692,0.992,0.00643,0.847,0.0452,0.16,-34.388,0.0553,105.987,Calm
0.244,0.501,0.254,0.0458,0.105,0.0909,-12.966,0.0296,81.049,Sad
0.795,0.443,0.71,0.0215,0.344,0.845,-4.746,0.0392,109.689,Happy
0.522,0.981,0.0781,0.927,0.361,0.0796,-24.89,0.0424,107.038,Calm
0.636,0.891,0.248,0.922,0.106,0.138,-17.313,0.0309,117.006,Calm
0.435,0.913,0.0595,0.882,0.104,0.0898,-17.456,0.0435,115.929,Calm
0.491,0.916,0.217,0.962,0.177,0.0647,-6.805,0.0521,99.97,Calm
0.449,0.58,0.163,0.908,0.114,0.0501,-16.409,0.0361,125.088,Calm
0.424,0.972,0.323,0.904,0.103,0.436,-27.586,0.0287,133.382,Calm
0.0903,0.646,0.362,0.402,0.106,0.0964,-8.929,0.0337,74.729,Sad
0.388,0.652,0.338,3.72E-06,0.248,0.477,-10.054,0.0328,177.784,Happy
0.578,0.183,0.817,3.06E-06,0.285,0.726,-6.542,0.0363,141.621,Happy
0.328,0.000224,0.826,0.000944,0.0818,0.341,-5.085,0.0362,106.606,Energetic
0.398,0.902,0.0887,1.76E-06,0.0873,0.356,-13.683,0.0334,74.797,Sad
0.594,0.000156,0.766,0.00345,0.086,0.453,-7.598,0.0327,143.482,Energetic
0.364,6.01E-05,0.925,0.000251,0.0603,0.301,-4.224,0.0659,153.981,Energetic
0.494,0.00129,0.946,0,0.398,0.741,-2.757,0.0637,103.408,Energetic
0.586,0.0589,0.7,0.00125,0.0318,0.897,-9.558,0.0363,147.245,Happy
0.563,0.0122,0.882,2.09E-06,0.0641,0.296,-4.755,0.0596,125.043,Energetic
0.665,0.336,0.56,0.0857,0.327,0.414,-7.301,0.0667,98.015,Sad
0.378,0.995,0.0181,0.881,0.104,0.16,-31.001,0.0552,86.533,Calm
0.656,0.00352,0.723,0,0.345,0.412,-7.693,0.0366,125.005,Happy
0.587,0.207,0.85,0,0.64,0.528,-3.904,0.0654,127.914,Energetic
0.534,0.0915,0.765,0.00107,0.225,0.117,-3.151,0.0338,127.978,Happy
0.764,0.666,0.245,0.787,0.0967,0.356,-16.201,0.0383,101.968,Sad
0.428,0.995,0.00129,0.955,0.0913,0.13,-32.837,0.0753,67.645,Calm
0.705,0.432,0.743,0.0133,0.103,0.374,-6.631,0.042,118.552,Happy
0.211,0.993,0.00977,0.891,0.0996,0.13,-25.787,0.0396,175.397,Calm
0.268,0.0656,0.494,2.61E-05,0.123,0.136,-7.219,0.0321,102.065,Sad
0.541,0.000492,0.967,0.676,0.103,0.134,-5.682,0.0529,126.026,Energetic
0.509,0.0329,0.583,0.000124,0.359,0.67,-4.902,0.0615,170.886,Energetic
0.38,0.917,0.219,0.0104,0.0827,0.0517,-13.273,0.0358,73.537,Sad
0.581,0.893,0.4,0.576,0.161,0.433,-8.739,0.0291,112.331,Sad
0.877,0.776,0.178,0.0193,0.107,0.442,-13.987,0.102,74.997,Sad
0.522,0.994,0.0155,0.927,0.0949,0.119,-28.022,0.0441,91.764,Calm
0.479,0.918,0.346,0.929,0.111,0.23,-17.916,0.0306,143.965,Calm
0.68,0.00538,0.721,0.000216,0.0679,0.267,-6.21,0.0355,122,Happy
0.511,0.000106,0.914,0.00097,0.195,0.393,-5.31,0.0457,99.011,Energetic
0.404,0.274,0.48,8.63E-06,0.132,0.2,-8.906,0.0303,129.162,Sad
0.187,0.992,0.014,0.923,0.0925,0.144,-29.31,0.0418,69.012,Calm
0.286,0.971,0.14,0.892,0.134,0.154,-16.496,0.0346,119.191,Calm
0.44,0.891,0.306,0,0.103,0.201,-8.947,0.0363,117.288,Sad
0.284,0.155,0.523,0.0934,0.0933,0.0697,-6.512,0.0285,100.597,Sad
0.661,0.0188,0.93,0.00146,0.0919,0.367,-4.208,0.0617,122.052,Happy
0.62,0.00402,0.897,8.56E-05,0.108,0.183,-3.595,0.086,126.013,Energetic
0.681,0.00732,0.969,0.199,0.219,0.26,-1.394,0.0702,126.024,Energetic
0.492,0.0014,0.969,1.32E-06,0.0787,0.538,-4.419,0.0491,95.136,Energetic
0.373,0.906,0.178,0.558,0.109,0.0933,-15.52,0.0303,108.605,Sad
0.545,0.362,0.255,1.77E-05,0.0841,0.831,-14.844,0.0311,98.088,Sad
0.491,0.97,0.197,0.916,0.214,0.216,-19.261,0.0298,132.106,Calm
0.56,0.00104,0.559,0.812,0.123,0.0869,-7.807,0.0274,133.044,Calm
0.438,0.855,0.404,0.881,0.11,0.4,-13.924,0.039,116.142,Calm
0.271,0.00099,0.931,0,0.182,0.382,-6.81,0.0785,142.407,Energetic
0.443,0.00161,0.973,0,0.353,0.458,-4.386,0.133,157.872,Energetic
0.864,0.00875,0.742,0.394,0.41,0.689,-6.117,0.043,124.009,Energetic
0.328,0.0041,0.799,6.29E-06,0.069,0.502,-5.992,0.0296,169.896,Sad
0.2,0.992,0.0212,0.903,0.0929,0.0631,-32.285,0.0499,74.852,Calm
0.637,0.0925,0.613,0.425,0.156,0.598,-7.432,0.0272,127.006,Sad
0.44,0.00222,0.919,0.00503,0.0892,0.773,-4.462,0.0735,184.324,Energetic
0.523,0.00387,0.833,0.000339,0.0841,0.482,-4.374,0.0405,115.975,Sad
0.25,0.991,0.00846,0.896,0.0853,0.0638,-24.348,0.0373,78.552,Calm
0.524,0.00022,0.939,0,0.623,0.661,-3.994,0.113,150.184,Energetic
0.298,0.00111,0.597,0,0.0819,0.536,-12.107,0.0343,180.434,Energetic
0.354,0.976,0.0214,0.903,0.0957,0.148,-32.492,0.0388,112.008,Calm
0.449,0.0522,0.585,8.49E-05,0.0833,0.203,-6.762,0.0268,139.627,Happy
0.646,0.159,0.938,0,0.235,0.888,-3.453,0.0448,106.029,Energetic
0.778,0.179,0.639,0.000934,0.322,0.543,-5.985,0.0292,119.977,Sad
0.134,0.961,0.0601,0.869,0.109,0.0388,-19.866,0.0352,73.855,Calm
0.636,0.00222,0.912,0.0269,0.598,0.0765,-5.671,0.091,127.963,Energetic
0.407,0.778,0.308,1.46E-05,0.092,0.153,-9.001,0.0296,73.254,Sad
0.319,0.937,0.122,0.905,0.167,0.214,-16.69,0.0373,70.263,Calm
0.274,0.995,0.00332,0.909,0.175,0.17,-41.45,0.0424,67.765,Calm
0.356,0.989,0.0499,0.943,0.135,0.153,-24.949,0.0407,67.11,Calm
0.736,0.00178,0.356,0.704,0.0925,0.525,-8.676,0.0405,118.002,Happy
0.261,0.474,0.25,0.893,0.0882,0.0827,-18.526,0.0339,153.045,Calm
0.549,0.988,0.0604,0.869,0.111,0.113,-23.059,0.0332,113.98,Calm
0.118,0.911,0.0567,0.879,0.106,0.0391,-19.274,0.0427,83.721,Sad
0.364,0.000104,0.912,0.0025,0.086,0.666,-2.968,0.107,105.368,Energetic
0.512,0.03,0.97,0,0.0994,0.427,-3.886,0.212,94.952,Energetic
0.544,0.000132,0.895,0.107,0.147,0.875,-6.207,0.0522,98.128,Energetic
0.376,0.965,0.0879,0.944,0.099,0.308,-19.815,0.0423,70.433,Calm
0.198,0.00131,0.977,4.62E-05,0.23,0.351,-3.499,0.173,195.795,Energetic
0.306,0.996,0.0846,0.901,0.0909,0.118,-27.607,0.0535,164.732,Calm
0.134,0.992,0.0407,0.794,0.117,0.043,-31.537,0.0426,217.95,Calm
0.461,0.968,0.272,0.946,0.113,0.533,-24.315,0.0363,122.731,Calm
0.616,0.966,0.292,0.927,0.0955,0.0633,-16.837,0.0423,127.008,Calm
0.708,0.00885,0.863,0.366,0.285,0.437,-4.001,0.0606,127.981,Energetic
0.62,0.00791,0.85,0,0.0769,0.715,-4.096,0.0327,107.982,Energetic
0.733,0.145,0.71,0.115,0.0956,0.965,-5.849,0.0292,127.975,Happy
0.299,0.169,0.541,0.795,0.132,0.191,-10.641,0.0513,142.724,Sad
0.374,0.995,0.068,0.934,0.119,0.241,-21.842,0.0517,66.01,Calm
0.321,0.973,0.0792,0.104,0.0888,0.106,-17.737,0.0329,145.293,Sad
0.594,0.988,0.0624,0.928,0.109,0.0738,-19.409,0.0472,123.999,Calm
0.315,0.987,0.102,0.954,0.104,0.169,-22.435,0.0423,63.679,Calm
0.651,0.000934,0.836,0.932,0.112,0.0741,-6.154,0.0588,127.986,Happy
0.416,0.99,0.0322,0.929,0.101,0.0614,-29.145,0.0451,120.321,Calm
0.552,0.956,0.126,0.0153,0.109,0.439,-18.014,0.0306,92.441,Sad
0.45,0.000124,0.978,7.14E-06,0.361,0.268,-4.198,0.0637,155.014,Energetic
0.157,0.991,0.0755,0.897,0.184,0.119,-23.545,0.051,71.23,Calm
0.593,0.794,0.229,0,0.167,0.42,-8.888,0.0307,117.823,Sad
0.651,0.00184,0.908,0.000579,0.384,0.769,-4.019,0.0577,123.851,Energetic
0.494,0.069,0.739,0.000368,0.0664,0.235,-4.61,0.0427,128.007,Energetic
0.368,0.81,0.293,0.864,0.11,0.197,-16.379,0.0346,119.977,Calm
0.597,0.95,0.327,0.96,0.0966,0.0399,-15.743,0.0342,109.99,Calm
0.625,0.00032,0.994,0.0461,0.767,0.35,-1.689,0.0501,125.032,Energetic
0.501,0.0071,0.784,0.000257,0.155,0.216,-4.292,0.0417,128.052,Energetic
0.304,0.73,0.317,0.00519,0.118,0.0596,-10.52,0.0285,147.83,Sad
0.648,0.985,0.177,0.000353,0.134,0.236,-13.474,0.0311,99.101,Sad
